epoch,train_loss,train_loss_0,train_loss_1,train_loss_2,train_loss_3,train_loss_4,train_loss_5,train_loss_6,train_loss_7,train_loss_8,train_loss_9,train_loss_10,train_loss_11,train_loss_12,train_loss_13,train_loss_14,train_loss_15,train_loss_16,train_loss_17,train_loss_18,train_loss_19,train_loss_20,train_loss_21,train_loss_22,train_loss_23,train_loss_24,train_loss_25,train_loss_26,train_loss_27,train_loss_28,train_loss_29,train_loss_30,train_loss_31,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.8692504406630338,0.0,3.1353255156680424,2.3312688488341546,0.0,0.5906078196371111,1.7845821639249002,1.4070137437139547,3.668224579930787,4.109600592543699,2.00548307630694,2.787027026125693,0.022370411799504206,3.391410535064553,0.0,3.38884841429507,0.0,3.6798420551842854,0.35633507003177134,0.0,0.7452127686146861,3.429066774907266,0.7214269680774164,0.0,0.0,3.7253546286564063,0.0,0.45473352371563974,3.1761092430443165,0.0,1.7746323207046142,4.310144995135012,3.2923771612837647,0.464125257730484,0.1534613179699545,0.0,0.0,0.3478925226622881,0.0,0.7737044437922566,0.0010554698413008704,0.0,0.0,0.0,0.4127552985927351,0.5245964459448574,0.0,0.0,0.0,0.0,0.0,0.0,0.7791235174328389,0.0,0.35078135982007036,0.0,0.8705548351927405,0.0,0.0,0.0,0.0,0.8502982817594573,0.0,0.0,0.0,0.0,0.0
2,0.2936886923981237,0.0,3.382988956563648,0.44710536192906514,0.0,0.0940692053107681,0.6861207177917766,2.0158408221534927,3.968912112902934,4.334867055748289,0.3455719069427244,0.5847033232102399,0.027324516694624344,3.607243516359158,0.0,2.9175265168919458,0.0,2.86352598674088,0.058070612457497874,0.0,0.17734122345086753,3.723129636505636,0.03928935857127948,0.0,0.0,3.6349918368301126,0.0,0.05737845002445379,2.6408163868850316,0.0,2.1115323609111494,3.9947349387347555,1.3531323121542227,0.26451780647039413,0.2145097445769398,0.0,0.0,0.6797404592793393,0.0,0.9211268948031053,0.24343444729292196,0.0,0.0,0.0,0.645275770362191,0.5652484098513808,0.0,0.0,0.0,0.003861548828330465,0.0,0.1124217894900899,0.8260450470197496,0.0,0.5551694911770941,0.0,0.9313207837518561,0.0,0.0,0.0,0.0,0.9121086197093324,0.0,0.0,0.0,0.0,0.46855856489668346
3,0.19308138229362257,0.0,3.6714763629536185,0.2853499587627047,0.0,0.06990922415918199,0.2583865947360574,2.216632476694824,4.282839718552361,4.067635524090995,0.25168053948931085,0.3568309446116699,0.02675408321422535,3.081637887998193,0.0,1.2675057224312032,0.0,1.3674402377711397,0.03639908842625964,0.0,0.10087994767104753,3.6628500414507057,0.03807558736775577,0.0,0.0,2.390303198667238,0.0,0.0511271099594061,1.7773190787783566,0.0,2.0670576892041526,2.9505062779224627,0.46613701565272503,0.19377436563372613,0.2721905911156327,0.0,0.0,0.7601123362242317,0.0,0.907847459820986,0.4597788625680253,0.0,0.0,0.0,0.718793657321611,0.6124284102325064,0.0,0.0,0.0,0.4018020525694574,0.0,0.3747490799294113,0.859213517694136,0.0,0.7635477160726662,0.0,0.9126782513380076,0.0,0.0,0.21941599104937687,0.0,0.9169680482497174,0.04004269243888063,0.0,0.0,0.11317522756188769,0.6495456126293456
4,0.1302699509721536,0.0,3.9061419187725424,0.18433401095125748,0.0,0.04779584933825306,0.2122256679165604,2.2154778672814692,3.9577556886438607,3.458390436045659,0.15847731221578792,0.27548329947790795,0.029495752774752103,2.609987747866021,0.0,0.5531692610217358,0.0,0.7888899724911755,0.027292364109460433,0.0,0.07225770979823114,3.522599482709063,0.030084168491488667,0.0,0.0,0.5825225248323456,0.0,0.038942254580571364,1.2477559842720631,0.0,1.90659144069735,2.0480463201287353,0.3183531010140616,0.16308317556977273,0.3053671115602242,0.0,0.0,0.8076645384273787,0.0,0.9430743080450792,0.5074627246085406,0.0,0.0,0.0,0.773347811289508,0.5956998457097933,0.0,0.0,0.0,0.5041941691383574,0.0,0.47443989792933083,0.8604611687784176,0.0,0.7649010757894386,0.0,0.9368688032441128,0.0,0.0,0.5322610175959148,0.0,0.9229312612724637,0.25813244607588354,0.0,0.0,0.20666250473526365,0.6836459972876939
5,0.10124455887701485,0.0,4.052885815972,0.1349507239398688,0.0,0.03970953626320464,0.20634470317510945,2.1490594313353433,3.0119084440265937,2.5644869767458496,0.13670431942026798,0.23664693616497337,0.029823387062156592,1.672530760609886,0.0,0.45835621227222384,0.0,0.5252914024022589,0.02317110055453669,0.0,0.060772981831931125,3.3247854039355067,0.02721526017186642,0.0,0.0,0.2864531272484339,0.0,0.034786718171481705,0.8389352561575719,0.0,1.6213741069427248,1.6913723307208945,0.2711297250932177,0.11137859150767326,0.32741792783276386,0.0,0.0,0.8626501340152203,0.0,0.950288983420753,0.5272468902232936,0.0,0.0,0.00026901925523152527,0.8035988370527395,0.6334242754361273,0.0,0.16258661616454112,0.0,0.4992094224803071,0.0,0.5490635645514004,0.9221259875453308,0.0,0.8547985783608979,0.0,0.9358790803980437,0.0,0.0,0.5510200289419267,0.0,0.9297704794531569,0.3645185516950065,0.0,0.0,0.23980109972505,0.6911221419294162
6,0.08298278837413578,0.0,4.17476672922512,0.106920539279869,0.0,0.03516450618673181,0.1708348438312656,2.1619403600063807,2.2288895696221935,1.7202585657039626,0.12881601461895484,0.21245901278407736,0.030187339573116093,0.8207698759968961,0.0,0.4006990299079564,0.0,0.40736204171476187,0.021160816820142245,0.0,0.053287057429602706,3.230887141532264,0.02626222361120647,0.0,0.0,0.19596786245817782,0.0,0.03378181814320724,0.6397470167086948,0.0,1.2364829937339166,1.5100260085705508,0.24298109654348654,0.0948944292962551,0.34255130994629707,0.0,0.0,0.869187925656483,0.0,0.9559587278083793,0.5347815297342385,0.0,0.0010272867154132418,0.03679423993681532,0.818496732118916,0.6640370585533883,0.0,0.4063486878112914,0.0,0.5123201706746647,0.0,0.5392009648069994,0.9373065941645571,0.0,0.8803910449822157,0.0,0.9390065702228565,0.0,0.0,0.5635901813312975,0.0,0.9327924441779627,0.39418427331660716,0.0,0.04954449554088582,0.22372797665418478,0.7029450140743502
7,0.07086609901635202,0.0,4.128142752980871,0.09458719625902254,0.0,0.030425487762383973,0.14872843022292392,2.165690801457646,1.450024669335996,1.177151400715455,0.1185346971436714,0.19250148095161468,0.03044628048991109,0.6828795177465006,0.0,0.3594873709223607,0.0,0.33758354231369675,0.0198913259233321,0.0,0.04769878428947061,2.989466032960974,0.02469332080434382,0.0,0.0,0.1629487204951553,0.0,0.031218980632063905,0.518673457181212,0.0,0.834440739702866,1.3670969484618083,0.21794792119751438,0.09580527618527412,0.3610360393561297,0.0,0.0,0.8655521384588469,0.0,0.9517108310886527,0.5382310672520235,0.0,0.3875397612125811,0.1746735342214631,0.8195809848334539,0.6879294372815274,0.0,0.3089941141686776,0.0,0.5398261825135184,0.0,0.5343467816717292,0.9364121362922159,0.0,0.8702702933944982,0.0,0.9374833054907926,0.0,0.0,0.5989645612407176,0.0,0.932774388415068,0.4007930451077817,0.0,0.15214548997628846,0.208669717053544,0.7072554897227693
8,0.06324227973000034,0.0,4.0326885921855045,0.08152847359889596,0.0,0.027477102155457744,0.12575057307165768,2.1477131184850333,0.9913958538225018,0.888972223502046,0.11090308823823145,0.1815188797599982,0.03139689728453919,0.6489784210843131,0.0,0.32421301900674543,0.0,0.2849942205448631,0.018586440869248447,0.0,0.04453647888767936,2.641789200346617,0.02412242484324449,0.0,0.0,0.14259730714407243,0.0,0.029809934138086427,0.43843900719219897,0.0,0.587861846173784,1.2796702900364243,0.19927480697060138,0.10145791731774807,0.3628151965861971,0.0,0.0,0.8556374859476457,0.0,0.9499411264087202,0.5383271223723897,0.0,0.49936170343792174,0.24133742749225365,0.8042444394848467,0.6886160014319089,0.0,0.22998006833574508,0.0,0.5519443277153282,0.0,0.5313555953563857,0.9318829051813085,0.0,0.8593990762514754,0.0,0.931410903422486,0.0,0.0,0.6024137767942369,0.0,0.9260345598231561,0.40307662667934513,0.0,0.16727705214068606,0.1966660330941332,0.701180059388334
9,0.05859517858742357,0.0,3.8993863864581546,0.074765297095471,0.0,0.02613628276463362,0.11512660465189772,2.141766399929203,0.8443256788903243,0.7382877916975873,0.10724021668794469,0.17535635426454824,0.031927876420073456,0.6090281659295504,0.0,0.318904448278817,0.0,0.2607882698542757,0.01766546201504031,0.0,0.04182279816613692,2.0073895865821427,0.024066711707680773,0.0,0.0,0.1302614754254357,0.0,0.0296368967198803,0.3934903425836743,0.0,0.4730172267458883,1.1922964832837322,0.19231729435310072,0.10161386802792549,0.3719881113164112,0.0,0.0,0.8473874142719753,0.0,0.9492519541046459,0.538397181465703,0.0,0.5119522692810291,0.28650433985289203,0.8032788735590538,0.6850794576094187,0.0,0.16219975056162603,0.0,0.5535845695274457,0.0,0.5452442126959395,0.9262551653641433,0.0,0.8511693860114619,0.18450442711718962,0.9270563003901884,0.0,0.0,0.6398962557429362,0.0,0.9273889626724919,0.4526938994009865,0.0,0.1801014018158537,0.21291129685526067,0.7187624438249156
10,0.05033801002734965,0.0,3.7449787101056904,0.06811699484586475,0.0,0.02178339291397552,0.10112111812409923,2.1085238240608866,0.7088358955539423,0.5711952996708872,0.08966435757206426,0.1560325634224545,0.03288393230228634,0.5447058559685812,0.0,0.258762684028874,0.0,0.20753124117059663,0.016228674053182932,0.0,0.03683652079176856,1.4595800603894402,0.02229976954985606,0.0,0.0,0.09457325683024463,0.0,0.023097754381162527,0.3223362092231149,0.0,0.40786423983350006,1.0791785936128158,0.1799143275525499,0.0755999382585287,0.4057218897838868,0.0,0.0,0.8611303435853948,0.0,0.962139406122492,0.545970677029795,0.0,0.4341643220670345,0.3632732057164126,0.84247667676787,0.7035915336652853,0.0,0.44441359976396216,0.0,0.5687501836024251,0.0,0.5937872655263062,0.9371662148997574,0.0,0.8621003430636996,0.45128125457104284,0.9514558636946464,0.0,0.0,0.7986005256402715,0.0,0.949031138497415,0.49741624101339044,0.0,0.17726779502011938,0.2956128320764576,0.7434710507605986
11,0.047510370960111147,0.0,3.707036586986577,0.06258551141133255,0.0,0.02014861076436445,0.09181169838685212,2.1082889835845333,0.7115344171341947,0.500789436718317,0.08146469533803082,0.15621781809488466,0.03283254654852898,0.5287099278886886,0.0,0.2578751597519426,0.0,0.20619895435431038,0.015437479948539405,0.0,0.03468017564063389,1.304122965150048,0.020853515209860694,0.0,0.0,0.09179785723728001,0.0,0.023093762496317425,0.28837045786683224,0.0,0.39428504123219876,1.0334411675602257,0.1570790309933315,0.07466336451470852,0.40885648048671774,0.0,0.0,0.8611855709307761,0.0,0.9624419739918035,0.5536484320584651,0.0,0.45126101301916,0.36959771203000036,0.8432202500543715,0.7047180734737847,0.0,0.45046573315971605,0.0,0.5650035079803237,0.0,0.5949312851208517,0.9378144420834975,0.0,0.8630791644701278,0.4975697050047848,0.9517540702558833,0.0,0.0,0.8016726372637297,0.0,0.9497465990528436,0.5037015521340346,0.0,0.17845608784171746,0.3018947885576517,0.7412447770914473
12,0.04650503830922829,0.0,3.6794839497692227,0.061984871163264926,0.0,0.019594733149129125,0.09001726162986169,2.0986697721565086,0.6974923107877851,0.4823888400417306,0.07913628674339905,0.15475557521855496,0.03293697650615986,0.5239660997548647,0.0,0.2501867151271833,0.0,0.2026940074270712,0.015310802162351774,0.0,0.03414714492699486,1.1937741176263892,0.02076972029289343,0.0,0.0,0.09149173683060507,0.0,0.02262843075224191,0.2806313565231995,0.0,0.3823308527896721,1.0175466749589275,0.15439613304420352,0.07416701875627041,0.4107028691990638,0.0,0.0,0.8606123966398108,0.0,0.9625481466798853,0.5588117815939687,0.0,0.46435955611873025,0.37487932322261075,0.8438794352941791,0.7046298132223625,0.0,0.4568405486709879,0.0,0.5639812970923063,0.0,0.5968801655894309,0.9381323898107494,0.0,0.8637927828560235,0.5188782697088535,0.9516576249562562,0.0,0.0,0.8025946874570528,0.0,0.9500989253256116,0.5063988970066813,0.0,0.17933211146814054,0.3046503229158535,0.7395333387405463
13,0.045705486743987264,0.0,3.656897030933271,0.06137074017064506,0.0,0.019187930385358407,0.08916950690899235,2.0911279903627147,0.683526091936045,0.4664594014845965,0.07718164045775538,0.15368881463496895,0.033027625345921775,0.5184485281911124,0.0,0.2442595286078322,0.0,0.20065417447251263,0.015196393575485991,0.0,0.03373404875280351,1.0967567351495946,0.02069235387984164,0.0,0.0,0.09113943503474749,0.0,0.02231855944241845,0.2754040047654257,0.0,0.37223364913797397,1.0042487558042956,0.15193482771774108,0.07378621734678745,0.41207200345056105,0.0,0.0,0.8605408520396451,0.0,0.962533716104074,0.5591456185805236,0.0,0.47745240576549647,0.37807935531146997,0.8437179286663884,0.7049682680938123,0.0,0.46232745795167157,0.0,0.5637234832449217,0.0,0.5992884832275807,0.9383726799141764,0.0,0.8642914716137463,0.5331883018531174,0.9516356453170666,0.0,0.0,0.8027677297160085,0.0,0.9502435208912067,0.5085135993614703,0.0,0.18006674792067612,0.3064482306147006,0.7389986142301984
14,0.04500147812887208,0.0,3.635398074747358,0.060753830788621094,0.0,0.018838982054931893,0.08893948741147875,2.084396021594963,0.6711495959376743,0.4527179085017166,0.07538054608447567,0.15269254681889993,0.03313093395023556,0.5120292917876734,0.0,0.2394018255601031,0.0,0.19862037158558712,0.01509378906036867,0.0,0.03337501728641317,1.0122253845941573,0.02061085236008349,0.0,0.0,0.09054192292612527,0.0,0.022058125120065435,0.2708352583097778,0.0,0.36275962704097153,0.992415430423572,0.14969476146085417,0.073454125598073,0.41313271203880764,0.0,0.0,0.8612671596578545,0.0,0.9626232668822174,0.5631832744588774,0.0,0.48409393745867535,0.38161063484881397,0.843849232438933,0.7049679158518514,0.0,0.4645302804031755,0.0,0.5647312848517283,0.0,0.6019935483267969,0.9384685880133364,0.0,0.8643489926558138,0.5409582066943455,0.9516259968000569,0.0,0.0,0.8031479143844085,0.0,0.9504578918130042,0.5111066707564008,0.0,0.18051077080366545,0.3075438711459983,0.7392273469958881
